,clientid,pubclientid,clmbuserid,imprid,siteId,goalid,cityId,stateId,countryDimId,browserId,adslotdimid,ispDimId,osVerDimId,conversion_fraud,clickIp,crtd,itmClmbLId,devTypeDimId
0,36,4,0,0,34,6384,436.0,1806.0,144.0,129639.0,321300,280429.0,199452.0,True,2,965,126,285
1,36,17,1,1,178,6384,10314.0,1817.0,144.0,129639.0,129239,136127.0,199452.0,True,1,965,181,285
2,36,4,0,0,34,6384,0.0,1812.0,144.0,129639.0,321554,172725.0,199452.0,True,1,965,181,285
3,36,4,0,0,34,6384,10300.0,1815.0,144.0,129639.0,321300,136127.0,199452.0,True,1,965,181,285
4,19,0,3,0,3296,3370,0.0,1818.0,144.0,129408.0,355768,136127.0,360833.0,True,1,965,181,285
5,36,17,1,1,178,6384,10314.0,1817.0,144.0,129639.0,129239,136127.0,199452.0,True,1,965,181,285
6,36,4,0,0,34,6384,439.0,1815.0,144.0,129639.0,321300,136127.0,199452.0,True,1,965,181,285
7,36,1,0,0,4,6384,0.0,2571.0,144.0,129639.0,355900,150208.0,199414.0,True,1,965,126,285
8,45,6,0,0,3,8628,0.0,2442.0,145.0,0.0,233531,265618.0,0.0,True,1,965,181,285
9,36,41,0,0,3290,6384,439.0,1815.0,144.0,129639.0,356952,280429.0,199452.0,True,1,965,181,285
10,19,0,3,0,3296,3370,34703.0,1818.0,144.0,129408.0,355768,136127.0,360833.0,True,1,965,181,285
11,45,6,0,0,3,8628,0.0,2437.0,145.0,0.0,233531,150733.0,0.0,True,1,965,181,285
12,45,6,0,0,3,8628,0.0,2442.0,145.0,0.0,233531,265618.0,0.0,True,1,965,126,285
13,19,0,3,0,3296,3370,34703.0,1818.0,144.0,129408.0,355768,136127.0,360833.0,True,1,965,126,285
14,36,4,0,0,34,6384,440.0,1802.0,144.0,129639.0,320284,132991.0,199414.0,True,1,965,181,285
15,36,4,0,0,34,6384,439.0,1815.0,144.0,129467.0,320283,164681.0,0.0,True,1,965,126,285
16,36,5,0,0,26,6384,440.0,1802.0,144.0,129639.0,339646,278940.0,360140.0,True,1,965,181,285
17,19,0,3,0,3296,3370,34703.0,1818.0,144.0,129408.0,355768,136127.0,360833.0,True,1,965,126,661
18,36,4,0,0,34,6384,10278.0,1808.0,144.0,129639.0,321300,136127.0,0.0,True,1,965,126,661
19,36,4,0,0,34,6384,0.0,0.0,144.0,129639.0,321554,151530.0,199452.0,True,1,965,126,285
20,36,4,0,0,34,6384,439.0,1815.0,144.0,129639.0,321554,266737.0,199452.0,True,1,965,126,285
21,36,4,0,0,34,6384,438.0,1818.0,144.0,129639.0,322232,133765.0,0.0,True,1,965,181,285
22,36,4,0,0,34,6384,10240.0,1802.0,144.0,129639.0,322232,147570.0,199414.0,True,1,965,181,285
23,36,17,1,1,178,6384,435.0,129163.0,144.0,129639.0,129239,266737.0,199452.0,True,1,965,126,661
24,36,4,0,0,34,6384,436.0,1806.0,144.0,129639.0,321554,266737.0,199452.0,True,1,965,181,285
25,36,17,1,1,178,6384,435.0,129163.0,144.0,129639.0,129239,266737.0,199452.0,True,1,965,126,285
26,36,41,0,0,3290,6384,347087.0,1812.0,144.0,129639.0,356952,172725.0,199522.0,True,1,965,181,285
27,36,4,0,0,34,6384,10240.0,1802.0,144.0,129639.0,321300,136127.0,199452.0,True,1,965,126,285
28,36,4,0,0,34,6384,435.0,129163.0,144.0,129639.0,321554,136127.0,199414.0,True,1,965,181,661
29,19,0,3,0,3296,3370,0.0,1818.0,144.0,129408.0,355768,136127.0,360833.0,True,1,965,181,285
30,39,29,0,0,2612,7803,4845.0,1504.0,149.0,129408.0,322211,135885.0,359528.0,True,1,965,126,285
31,55,1,0,0,4,10679,435.0,129163.0,144.0,129639.0,129117,177151.0,199414.0,True,2,965,181,285
32,36,4,1,1,34,6384,436.0,1806.0,144.0,129639.0,321300,266737.0,199522.0,True,2,965,126,285
33,36,4,1,1,34,6384,436.0,1806.0,144.0,129639.0,321300,266737.0,199522.0,True,1,965,126,285
34,1,2,0,0,767,280,437.0,1808.0,144.0,129408.0,215442,154900.0,360833.0,True,1,965,181,285
35,19,0,3,0,3296,3370,438.0,1818.0,144.0,129408.0,355768,136127.0,360833.0,True,1,965,126,285
36,19,0,3,0,3296,3370,0.0,2576.0,144.0,129408.0,355768,136127.0,360833.0,True,1,965,181,285
37,45,6,0,0,3,8628,0.0,2442.0,145.0,0.0,233531,265618.0,0.0,True,1,965,181,285
38,19,0,3,0,3296,3370,0.0,1818.0,144.0,129408.0,355768,136127.0,360833.0,True,1,965,181,285
39,8,6,0,0,39,1589,2942.0,2929.0,433.0,129408.0,207114,146453.0,360833.0,True,1,965,181,285
40,36,1,1,1,4,6384,10240.0,1802.0,144.0,196034.0,208630,147570.0,199452.0,True,1,965,181,285
41,19,0,3,0,3296,3370,34703.0,1818.0,144.0,129408.0,355768,136127.0,360833.0,True,1,965,126,285
42,36,1,1,1,4,6384,10240.0,1802.0,144.0,196034.0,208630,147570.0,199452.0,True,1,965,126,285
43,19,0,3,0,3296,3370,34703.0,1818.0,144.0,129408.0,355768,136127.0,360833.0,True,1,965,126,285
44,36,41,1,1,3290,6384,10314.0,1817.0,144.0,129639.0,356952,280429.0,199452.0,True,1,965,126,285
45,36,41,1,1,3290,6384,10314.0,1817.0,144.0,129639.0,356952,280429.0,199452.0,True,2,965,181,285
46,36,17,0,0,178,6384,437.0,1808.0,144.0,0.0,129239,280429.0,0.0,True,1,965,181,285
47,0,41,1,0,3290,10223,435.0,129163.0,144.0,129639.0,356952,151879.0,199414.0,True,1,965,181,285
48,36,41,2,0,3290,6384,435.0,129163.0,144.0,129639.0,356952,266737.0,199452.0,True,1,965,181,661
49,45,6,0,0,3,8628,0.0,2442.0,145.0,0.0,233531,265618.0,0.0,True,1,965,181,285
50,45,6,0,0,3,8628,0.0,2442.0,145.0,0.0,233531,265618.0,0.0,True,1,965,126,285
51,36,4,0,0,34,6384,439.0,1815.0,144.0,129639.0,320284,266737.0,199452.0,True,1,965,181,285
52,36,4,0,0,34,6384,10282.0,1810.0,144.0,129639.0,320270,280429.0,199414.0,True,1,965,181,285
53,45,6,0,0,3,8628,0.0,2437.0,145.0,0.0,233531,150733.0,0.0,True,1,965,126,285
54,45,6,0,0,3,8628,0.0,2442.0,145.0,0.0,233531,265618.0,0.0,True,2,965,181,285
55,36,4,0,0,34,6384,435.0,129163.0,144.0,129639.0,320284,280429.0,199452.0,True,1,965,126,285
56,36,41,2,0,3290,6384,435.0,129163.0,144.0,129639.0,356952,266737.0,199452.0,True,1,965,181,285
57,8,19,0,0,245,1589,0.0,2424.0,145.0,129639.0,254793,139145.0,361287.0,True,1,965,181,285
58,45,24,0,0,549,8628,0.0,2420.0,145.0,129639.0,342284,185265.0,199452.0,True,1,965,181,285
59,36,4,0,0,34,6384,435.0,129163.0,144.0,196034.0,321300,151879.0,199452.0,True,1,965,181,285
60,45,6,0,0,3,8628,0.0,2437.0,145.0,0.0,233531,150733.0,0.0,True,1,965,181,285
61,36,41,2,0,3290,6384,435.0,129163.0,144.0,129639.0,356952,266737.0,199452.0,True,1,965,126,285
62,36,17,1,1,178,6384,34708.0,2570.0,144.0,129639.0,129239,149033.0,199452.0,True,1,965,181,285
63,36,4,0,0,34,6384,435.0,129163.0,144.0,129639.0,320284,266737.0,199452.0,True,1,965,181,285
64,36,17,1,1,178,6384,34708.0,2570.0,144.0,129639.0,129239,149033.0,199452.0,True,1,965,181,285
65,1,29,0,0,2612,280,436.0,1806.0,144.0,129408.0,322211,136127.0,360831.0,True,1,965,181,285
66,36,17,0,0,178,6384,437.0,1808.0,144.0,129639.0,129239,143124.0,199414.0,True,1,965,181,285
67,36,4,0,0,34,6384,0.0,1807.0,144.0,129639.0,321554,0.0,199414.0,True,1,965,181,285
68,36,19,2,0,245,6384,0.0,1803.0,144.0,129639.0,254786,156196.0,199522.0,True,1,965,181,285
69,36,41,2,0,3290,6384,0.0,1803.0,144.0,129639.0,356952,156196.0,199522.0,True,1,965,126,285
70,36,4,0,0,34,6384,10300.0,1815.0,144.0,129639.0,320284,266906.0,199414.0,True,1,965,181,285
71,36,4,0,0,34,6384,10276.0,1808.0,144.0,129639.0,321554,266031.0,199452.0,True,1,965,126,285
72,45,6,0,0,3,8628,0.0,2442.0,145.0,0.0,233531,265618.0,0.0,True,1,965,126,285
73,36,4,0,0,34,6384,435.0,129163.0,144.0,129639.0,321553,151879.0,199452.0,True,1,965,181,285
74,36,4,1,0,34,6384,437.0,1808.0,144.0,129639.0,321300,280429.0,199414.0,True,1,965,126,285
75,36,4,0,0,34,6384,0.0,1803.0,144.0,129639.0,320283,146142.0,199452.0,True,1,965,181,285
76,36,4,0,0,34,6384,439.0,1815.0,144.0,129639.0,321554,280429.0,0.0,True,1,965,181,285
77,45,6,0,0,3,8628,0.0,2442.0,145.0,0.0,233531,265618.0,0.0,True,1,965,181,285
78,36,6,1,1,3,6384,439.0,1815.0,144.0,129639.0,332775,136127.0,199505.0,True,1,965,181,285
79,36,4,0,0,34,6384,438.0,1818.0,144.0,196030.0,320284,136127.0,199452.0,True,1,965,181,285
80,36,4,0,0,34,6384,435.0,129163.0,144.0,129639.0,321300,266737.0,199452.0,True,1,965,181,285
81,36,4,0,0,34,6384,439.0,1815.0,144.0,129639.0,321300,266906.0,199522.0,True,1,965,126,285
82,36,4,0,0,34,6384,435.0,129163.0,144.0,129639.0,322233,280429.0,199452.0,True,1,965,181,285
83,36,6,1,1,3,6384,439.0,1815.0,144.0,129639.0,332775,136127.0,199505.0,True,1,965,181,285
84,45,6,0,0,3,8628,0.0,2442.0,145.0,129639.0,233531,265618.0,199414.0,True,1,965,126,661
85,8,5,1,1,26,1589,437.0,1808.0,144.0,129639.0,339647,282855.0,199414.0,True,1,965,181,285
86,36,41,2,0,3290,6384,0.0,1803.0,144.0,129639.0,356952,156196.0,199522.0,True,1,965,126,285
87,36,4,0,0,34,6384,440.0,1802.0,144.0,129639.0,321300,273302.0,199452.0,True,1,965,181,285
88,36,4,0,0,34,6384,10254.0,1804.0,144.0,129639.0,322231,136127.0,199414.0,True,1,965,181,285
89,43,5,1,1,26,7485,437.0,1808.0,144.0,129639.0,339647,282855.0,199414.0,True,1,965,181,285
90,8,1,0,0,74,1589,439.0,1815.0,144.0,129433.0,206639,280429.0,359921.0,True,1,965,126,285
91,36,4,0,0,34,6384,10255.0,1804.0,144.0,129639.0,321410,136127.0,199522.0,True,1,965,181,285
92,36,4,0,0,34,6384,437.0,1808.0,144.0,129639.0,321300,0.0,199414.0,True,1,965,126,285
93,36,4,0,0,34,6384,436.0,1806.0,144.0,129639.0,321300,266737.0,199414.0,True,1,965,181,285
94,45,6,0,0,3,8628,0.0,2442.0,145.0,0.0,233531,265618.0,0.0,True,1,965,126,285
95,36,41,1,0,3290,6384,435.0,129163.0,144.0,129639.0,356952,151879.0,199414.0,True,1,965,181,661
96,43,9,0,0,1214,7485,437.0,1808.0,144.0,129408.0,264405,280429.0,359919.0,True,1,965,181,285
97,45,6,0,0,3,8628,0.0,2437.0,145.0,0.0,233531,150733.0,0.0,True,1,965,181,285
98,36,4,0,0,34,6384,438.0,1818.0,144.0,129639.0,321300,266906.0,199452.0,True,1,965,126,285
99,36,41,0,0,3290,6384,10278.0,1808.0,144.0,129639.0,356952,280429.0,199414.0,True,1,965,181,285
100,36,41,0,0,3290,6384,10254.0,1804.0,144.0,129639.0,356952,266913.0,199452.0,True,1,965,126,285
101,50,38,0,0,3130,10346,34714.0,1799.0,144.0,129639.0,348322,266906.0,199414.0,True,1,965,181,661
102,36,4,1,0,34,6384,437.0,1808.0,144.0,129639.0,321300,280429.0,199414.0,True,1,965,126,661
103,45,6,0,0,3,8628,0.0,2442.0,145.0,0.0,233531,265618.0,0.0,True,1,965,181,285
104,36,17,0,0,178,6384,10240.0,1802.0,144.0,129639.0,129239,132991.0,199452.0,True,1,965,181,285
105,36,4,0,0,34,6384,0.0,1808.0,144.0,129639.0,321410,177700.0,199414.0,True,1,965,181,285
106,36,4,0,0,34,6384,10240.0,1802.0,144.0,129639.0,321300,136127.0,199452.0,True,1,965,126,285
107,36,17,1,1,178,6384,10286.0,1810.0,144.0,129639.0,129239,280429.0,199452.0,True,1,965,126,661
108,36,17,1,1,178,6384,10286.0,1810.0,144.0,129639.0,129239,280429.0,199452.0,True,1,965,181,285
109,52,20,0,0,2627,10517,437.0,1808.0,144.0,129408.0,322157,266031.0,360956.0,True,1,965,181,285
110,45,6,0,0,3,8628,0.0,2437.0,145.0,0.0,233531,272343.0,0.0,True,1,965,181,285
111,45,6,0,0,3,8628,0.0,2437.0,145.0,0.0,233531,150733.0,0.0,True,1,965,181,285
112,36,4,0,0,34,6384,10310.0,1817.0,144.0,129639.0,321300,184911.0,199414.0,True,1,965,126,661
113,36,41,1,1,3290,6384,10269.0,1807.0,144.0,129639.0,356952,133765.0,199414.0,True,1,965,181,285
114,36,41,1,1,3290,6384,10269.0,1807.0,144.0,129639.0,356952,133765.0,199414.0,True,2,965,126,661
115,45,6,0,0,3,8628,0.0,2442.0,145.0,0.0,233531,265618.0,0.0,True,2,965,126,285
116,36,4,0,0,34,6384,438.0,1818.0,144.0,129639.0,320284,162352.0,199452.0,True,1,965,126,285
117,28,20,0,0,1057,6630,437.0,1808.0,144.0,0.0,315157,280429.0,360833.0,True,1,965,126,285
118,21,15,0,0,1219,607,435.0,129163.0,144.0,129408.0,264408,136127.0,206071.0,True,2,965,181,285
119,45,6,0,0,3,8628,0.0,2442.0,145.0,0.0,233531,265618.0,0.0,True,1,965,126,285
120,36,4,0,0,34,6384,10240.0,1802.0,144.0,129639.0,321553,147570.0,199414.0,True,1,965,181,661
121,36,6,1,1,3,6384,10240.0,1802.0,144.0,129639.0,350086,266913.0,199452.0,True,1,965,181,285
122,36,4,0,0,34,6384,0.0,2571.0,144.0,129639.0,321300,280429.0,199452.0,True,1,965,126,285
123,36,6,1,1,3,6384,10240.0,1802.0,144.0,129639.0,350086,266913.0,199452.0,True,1,965,126,285
124,36,17,0,0,178,6384,10286.0,1810.0,144.0,0.0,129239,280429.0,0.0,True,2,965,181,285
125,36,4,0,0,34,6384,436.0,1806.0,144.0,129639.0,321554,266913.0,199414.0,True,1,965,181,285
126,7,4,0,0,825,904,34755.0,1808.0,144.0,129408.0,320281,268021.0,359919.0,True,2,965,181,285
127,15,4,0,0,34,10553,435.0,129163.0,144.0,129639.0,321553,165658.0,360155.0,True,1,965,181,285
128,36,4,0,0,34,6384,435.0,129163.0,144.0,129639.0,321410,151879.0,199414.0,True,1,965,126,285
129,36,4,0,0,34,6384,10278.0,1808.0,144.0,129467.0,321554,266906.0,199414.0,True,1,965,181,285
130,36,4,0,0,34,6384,438.0,1818.0,144.0,129639.0,321554,280429.0,199414.0,True,1,965,126,661
131,36,6,0,0,3,6384,435.0,129163.0,144.0,129639.0,239188,266737.0,199452.0,False,1,965,181,285
132,36,41,0,0,3290,6384,0.0,1803.0,144.0,129639.0,356952,266913.0,199452.0,False,1,965,126,285
133,36,41,0,0,3290,6384,0.0,1803.0,144.0,129639.0,356952,133765.0,199452.0,False,1,965,181,285
134,45,5,0,0,26,8628,0.0,2428.0,145.0,129639.0,339648,186936.0,199452.0,False,1,965,181,285
135,15,0,0,0,3296,10553,10291.0,2578.0,144.0,129639.0,355768,266906.0,199414.0,False,1,965,181,661
136,42,17,0,0,178,7229,10278.0,1808.0,144.0,129639.0,129784,280429.0,199414.0,False,1,965,181,285
137,21,14,0,0,1217,607,10300.0,1815.0,144.0,0.0,264411,136127.0,0.0,False,1,965,126,285
138,30,0,0,0,3296,8784,10240.0,1802.0,144.0,0.0,355768,136127.0,360956.0,False,1,965,126,285
139,50,17,0,0,178,10346,10233.0,1799.0,144.0,129639.0,337642,266737.0,199452.0,False,1,965,126,661
140,36,6,2,0,3,6384,10240.0,1802.0,144.0,129639.0,239188,166358.0,199452.0,False,1,965,181,285
141,36,41,0,0,3290,6384,439.0,1815.0,144.0,129639.0,356952,266906.0,199522.0,False,1,965,181,285
142,36,12,0,0,19,6384,436.0,1806.0,144.0,129639.0,351350,134237.0,199414.0,False,2,965,126,285
143,54,17,0,0,178,10614,0.0,1803.0,144.0,129639.0,129239,170706.0,199414.0,False,1,965,181,285
144,19,0,0,0,3296,3370,439.0,1815.0,144.0,129408.0,355768,136127.0,360956.0,False,1,965,126,285
145,18,6,0,0,3,469,436.0,1806.0,144.0,129639.0,332775,266913.0,199452.0,False,1,965,126,285
146,8,17,0,0,283,1589,34755.0,1808.0,144.0,129433.0,236059,162894.0,360833.0,False,1,965,181,285
147,36,6,0,0,3,6384,10278.0,1808.0,144.0,129639.0,332775,280429.0,199414.0,False,1,965,181,285
148,36,17,0,0,178,6384,10240.0,1802.0,144.0,129639.0,337642,163485.0,199414.0,False,1,965,181,285
149,36,17,0,0,178,6384,0.0,1807.0,144.0,129639.0,129239,136127.0,199452.0,False,1,965,126,285
150,36,2,0,0,16,6384,10240.0,1802.0,144.0,129639.0,324102,281745.0,199452.0,False,1,965,126,285
151,36,41,0,0,3290,6384,439.0,1815.0,144.0,129639.0,356952,0.0,199452.0,False,1,965,181,285
152,36,25,0,0,568,6384,436.0,1806.0,144.0,129639.0,209126,151879.0,199452.0,False,1,965,181,285
153,36,1,0,0,4,6384,34755.0,1808.0,144.0,129639.0,130014,161223.0,199414.0,False,1,965,126,285
154,4,20,0,0,1057,722,10239.0,1801.0,144.0,129408.0,315157,280429.0,360956.0,False,1,965,181,285
155,20,14,0,0,205,4265,437.0,1808.0,144.0,129639.0,356312,133765.0,199452.0,False,1,965,126,661
156,4,35,0,0,2958,722,436.0,1806.0,144.0,129639.0,336427,266913.0,199452.0,False,1,965,126,285
157,36,17,0,0,178,6384,10295.0,1814.0,144.0,129639.0,129239,266737.0,199452.0,False,1,965,181,285
158,50,1,0,0,4,10346,435.0,129163.0,144.0,129639.0,208063,153317.0,199414.0,False,1,965,181,285
159,36,17,0,0,178,6384,10239.0,1801.0,144.0,129639.0,337645,136127.0,199452.0,False,1,965,181,285
160,19,0,0,0,3296,3370,437.0,1808.0,144.0,129408.0,355768,280429.0,359921.0,False,1,965,126,285
161,36,17,1,0,178,6384,208118.0,1804.0,144.0,129639.0,337645,273302.0,199452.0,False,1,965,181,285
162,36,18,0,0,379,6384,0.0,1811.0,144.0,129639.0,207067,136127.0,199414.0,False,1,965,181,285
163,36,41,0,0,3290,6384,435.0,129163.0,144.0,129639.0,356952,266737.0,0.0,False,1,965,181,285
164,36,18,0,0,2116,6384,10278.0,1808.0,144.0,129473.0,341816,280429.0,361320.0,False,1,965,126,285
165,36,17,0,0,178,6384,436.0,1806.0,144.0,0.0,129239,280429.0,0.0,False,1,965,126,285
166,36,6,0,0,3,6384,10313.0,1817.0,144.0,129639.0,239188,266906.0,199414.0,False,1,965,181,285
167,36,41,0,0,3290,6384,439.0,1815.0,144.0,129639.0,356952,136127.0,199414.0,False,1,965,126,285
168,36,29,0,0,2608,6384,438.0,1818.0,144.0,129639.0,322224,280429.0,199452.0,False,1,965,126,285
169,6,33,0,0,2923,4405,440.0,1802.0,144.0,129433.0,334764,136127.0,360833.0,False,1,965,181,285
170,4,15,0,0,1219,722,435.0,129163.0,144.0,129408.0,264409,280429.0,359919.0,False,1,965,126,285
171,21,12,0,0,1215,607,436.0,1806.0,144.0,129408.0,264415,136127.0,359921.0,False,1,965,181,285
172,36,6,0,0,3,6384,438.0,1818.0,144.0,129639.0,332783,133765.0,199414.0,False,1,965,126,661
173,36,1,1,0,4,6384,0.0,1803.0,144.0,129639.0,355900,266906.0,199414.0,False,2,965,126,661
174,36,41,0,0,3290,6384,0.0,1817.0,144.0,129639.0,356952,164681.0,199414.0,False,1,965,181,285
175,36,41,0,0,3290,6384,435.0,129163.0,144.0,129639.0,356952,266737.0,199414.0,False,1,965,181,285
176,15,0,0,0,3296,10553,10314.0,1817.0,144.0,129639.0,355768,266906.0,199414.0,False,2,965,126,285
177,9,17,0,0,179,405,10256.0,1804.0,144.0,129408.0,337641,280429.0,360833.0,False,1,965,181,285
178,46,2,0,0,49,9115,34699.0,1817.0,144.0,129408.0,323134,266906.0,359919.0,False,1,965,181,285
179,4,2,0,0,767,722,0.0,1810.0,144.0,129408.0,215442,280429.0,359919.0,False,1,965,181,285
180,36,6,0,0,3,6384,437.0,1808.0,144.0,129639.0,350086,136127.0,199452.0,False,1,965,181,285
181,36,41,0,0,3290,6384,440.0,1802.0,144.0,129639.0,356952,136127.0,199452.0,False,1,965,181,285
182,36,41,0,0,3290,6384,439.0,1815.0,144.0,129639.0,356952,266913.0,199452.0,False,1,965,126,285
183,36,6,0,0,3,6384,322890.0,1808.0,144.0,129639.0,239188,133765.0,199414.0,False,1,965,181,285
184,36,17,0,0,178,6384,10240.0,1802.0,144.0,129639.0,129237,147570.0,199452.0,False,1,965,181,285
185,36,41,0,0,3290,6384,0.0,1807.0,144.0,129639.0,355688,136528.0,199452.0,False,1,965,181,285
186,36,6,0,0,3,6384,0.0,1811.0,144.0,129639.0,239188,280429.0,199414.0,False,1,965,126,285
187,36,13,0,0,187,6384,10315.0,1817.0,144.0,129639.0,336962,285819.0,199414.0,False,1,965,181,285
188,4,2,0,0,16,722,34679.0,1817.0,144.0,129639.0,341354,273302.0,199414.0,False,1,965,181,285
189,36,1,0,0,4,6384,10278.0,1808.0,144.0,129639.0,355902,280429.0,199452.0,False,1,965,181,285
190,21,20,0,0,2627,607,10291.0,2578.0,144.0,129408.0,322157,136127.0,360956.0,False,1,965,181,285
191,4,6,0,0,3,722,436.0,1806.0,144.0,196034.0,332775,266906.0,199452.0,False,2,965,181,285
192,45,6,0,0,3,8628,0.0,1434.0,406.0,196034.0,332775,189415.0,199452.0,False,1,965,181,285
193,36,1,0,0,4,6384,0.0,1818.0,144.0,129639.0,129117,265493.0,199522.0,False,1,965,126,285
194,18,33,0,0,2923,469,436.0,1806.0,144.0,129433.0,334760,266737.0,359921.0,False,1,965,126,285
195,9,33,0,0,2923,405,10240.0,1802.0,144.0,129433.0,334758,151879.0,359921.0,False,1,965,126,285
